Movie Title,movie_id,release_date,genres,casts,directors,writers,producers,plot_summary,votes,rating
taj mahal: an eternal love story,0328503,18 Nov 2005,Drama & History & Musical & Romance,"['Milind Gunaji', 'Kabir Bedi', 'Pooja Batra', 'Shahid Khan', 'Arbaaz Ali Khan', 'Manisha Koirala', 'Vaquar Shaikh', 'Negar Khan', 'Zulfi Sayed', 'Kim Sharma', 'Sonya Jehan', 'Arbaaz Khan']",['Akbar Khan'],"['Mohafiz Hyder', 'Fatima Meer', 'Akbar Khan', 'Rajeev Mirza']","['Neil Kaplan', 'Pen Densham', 'Akbar Khan', 'Shahala Sheikh', 'John Watson']","The love of the great Moghul emperor Shah Jahan for his wife withstands court intrigue, dynastic betrayal, war and death itself when he builds her the greatest memorial tomb of all time: the Taj Mahal.",175.0,5.0
pyaar mein kabhi kabhi,0275608,25 Jun 1999,Comedy & Drama & Musical & Romance,"['Tarun Arora', 'Bhau', 'Arvind Sirohi', 'Ravi Moorthy', 'Priya Ahluwalia', 'Longiness Fernandes', 'Sheel Nimbalkar', 'Shweta Salve', 'Tora Khasgir', 'Gaurav Jaitley', 'Melody Decunha', 'Mayura Jagtap', 'Shiraz Bhattacharya', 'Rinke Khanna', 'Patrick Biswas', 'Manoj Dhanwani', 'Karishma Jaitley', 'Amar Talwar', 'Mohan Kapur', 'Manish Goyal', 'Amitabh Venugopal', 'Akashdeep Saigal', 'Pinky Singh', 'Sanjay Suri', 'Akash Karnataki', 'Sanjeev Mulchandani', 'Dino Morea', 'Nitin Jaitley']",['Raj Kaushal'],"['Raj Kaushal', 'Patrick Biswas', 'Vishal Dadlani', 'Shailendra Singh']","['Raj Kaushal', 'Shailendra Singh']","Siddhant recounts three months in his struggle to attain fame via the National Institute of Performing Arts and his close friendship with fellow-students: Baksh Bhargav, Radha, Ruby, KS, Ronnie, Hari, and new-comer Khushi. His attraction towards supermodel Roxy spurs him on to make a name for himself, while also maintaining an attachment to Khushi, who also has a secret admirer in this group. And the group's attempts to deal with the fact that one of them is HIV positive.",181.0,4.5
bhagwaan dada,0186871,,Drama & Thriller,"['Baby Guddu', 'Brahm Bhardwaj', 'Hrithik Roshan', 'Tina Munim', 'Raj Kishore', 'Shubha Khote', 'Kanan Kaushal', 'Birbal', 'Danny Denzongpa', 'Tina Ambani', 'Rajinikanth', 'Iftekhar', 'Vijay Kashyap', 'Deepika Chikhalia', 'Sujit Kumar', 'Dulari', 'Manmauji', 'Gurbachan Singh', 'Om Prakash', 'Rakesh Roshan', 'Satish Shah', 'Paresh Rawal', 'Piloo J. Wadia', 'Sridevi', 'Yunus Parvez', 'Huma Khan']",['J. Om Prakash'],"['Rahi Masoom Reza', 'Ramesh Pant']",['Rakesh Roshan'],"Naive village-born Swaroop comes to Bombay city with a only Rs.80/-, which he loses to a thief. A man named Bhagwaan helps Swaroop recover this amount, and asks him to return back to his village, as the city is not a good place for a simpleton like himself. Swaroop decides to stay, and Bhagwaan assists him to find a roof over his head, as well as employment. Swaroop meets with an attractive young woman named Bijli, and he is attracted to her. What Swaroop does not know that Bhagwaan is a notorious gangster known in the community as Bhagwaan Dada, and that Bijli is a woman of questionable character and means, who works during the night as a prostitute.",182.0,4.3
mere jeevan saathi (1972 film),,,,,,,,,,
khamoshi (2019 film),,,,,,,,,,
dil tera diwana (1996 film),,,,,,,,,,
shaktiman (1993 film),,,,,,,,,,
allauddinum albhutha vilakkum,,,,,,,,,,
what the fish,3357416,13 Dec 2013,Adventure & Comedy & Drama,"['Deepti Pujari', 'Sunil Saraswat', 'Sabina Sheema', 'Mithun Rodwittiya', 'Manu Rishi Chadha', 'Manjot Singh', 'Vishal Sharma', 'Dimple Kapadia', 'Naresh Gosain', 'Geetika Tyagi', 'Sumit Suri', 'Shiva Kumar']",['Gurmmeet Singh'],"['Rajesh Chawla', 'Tejpal Singh Rawat']","['K.R. Harish', 'Kumud Shahi', 'Maitreyee Dasgupta', 'Dalair Singh', 'Arvinder Gill', 'Harjit Singh Rai', 'Vishal Bajaj']","['A woman Sudha, before leaving for a month-long holiday, instructs Sumit to regularly feed her pet fish. But when she returns home, she is shocked to see her house in an utter mess. What could have happened?']",201.0,5.0
janwar (1965 film),,,,,,,,,,
charas (1976 film),,,,,,,,,,
immaan dharam,0076177,14 Jan 1977,Action & Drama,"['Utpal Dutt', 'Raj Kishore', 'Prem Chopra', 'Jimmy Sikander', 'Nazir Kashmiri', 'Helen', 'Jagdish Raj', 'M.B. Shetty', 'Amar Nath', 'Amar', 'Deepak', 'Rekha', 'Billa', 'Prakash Thapa', 'Aparna Sen', 'Sudhir', 'Amrish Puri', 'Khan', 'Gajanan Jagirdar', 'A.K. Hangal', 'Zahoor', 'Amitabh Bachchan', 'Om Shivpuri', 'Kumud Tripathi', 'Dhanna', 'Bihari', 'Prakash Thapa', 'Ram Murti Chaturvedi', 'Chandu', 'C.S. Dubey', 'Mohan Sherry', 'Mac Mohan', 'Shreeram Lagoo', 'Satyendra Kapoor', 'R.C. Chopra', 'Prakash Gill', 'Hammad Jafri', 'Shashi Kapoor', 'Baby Rani', 'Sajjan', 'Kamaldeep', 'Pinchoo Kapoor', 'Sanjeev Kumar']",['Desh Mukherjee'],"['Javed Akhtar', 'Salim Khan']","['J.N. Manchanda', 'Premji']","This is a story about two guys who act as mock witnesses and always hang around court to give evidence as per the requirement of the case every time. They have never believed in God but eventually they have to accept the power of God. Ahmed and Mohan Kumar Saxena are petty thieves, and con-men. They career is spent as false witnesses near the Bombay courts, where they get paid a set sum of rupees for false depositions. This changes when they meet and are influenced by Kabir Das, and decide to go straight. They find that it's virtually impossible to earn a living as honest citizens. Then Kabir Das is arrested and imprisoned by a murder he claims he did not commit, and the duo promise to help him, and find out who the real killer is, but they themselves end up getting in trouble.",193.0,5.7
ajay (1996 film),,,,,,,,,,
jurmana (1979 film),,,,,,,,,,
anuradha (1960 film),,,,,,,,,,
yudh (film),,,,,,,,,,
balwaan,0103763,11 Sep 1992,Action & Adventure,"['Sunil Shetty', 'Shraddha Verma', 'Arun Bakshi', 'Raju Mavani', 'Somesh Agarwal', 'Mahesh Raaj', 'Neena Gupta', 'Danny Denzongpa', 'Mushtaq Merchant', 'Kim', 'Tinnu Anand', 'Ghanshyam Rohera', 'Ankush Mohite', 'Pankaj Berry', 'Divya Bharti', 'Ishrat Ali', 'Guddi Maruti', 'Avtar Gill', 'Anjana Mumtaz', 'Yunus Parvez', 'Vikram Gokhale', 'Dinesh Hingoo']",['Deepak Anand'],,['Raju Mavani'],"Arjun Singh lives with his mother and sister; he takes it upon himself to fight injustice. This gets notice by the police commissioner who decides to enlist Arjun into the police force and thus his war against injustice continues. His life changes when he cross path with a notorious gangster, Bhai who frames him for murder and has him sent to jail. While Arjun is away Bhai tortures his family and eventually kill them; this then force Arjun to escape from jail in order to settle scores with Bhai.",193.0,4.4
diksha (film),,,,,,,,,,
fareb (2005 film),,,,,,,,,,
tum se achcha kaun hai,0318956,26 Apr 2002,Drama & Musical & Romance,"['Nakul Kapoor', 'Neha Pendse', 'Dalip Tahil', 'Raghuvir Yadav', 'Ruchi Bafna', 'Aarti Chhabria', 'Neeraj Vora', 'Rajpal Yadav', 'Viju Khote', 'Girija Shankar', 'Shashi Kiran', 'Ali Asgar', 'Navni Parihar', 'Adi Irani', 'Ananth Narayan Mahadevan', 'Rati Agnihotri', 'Kim Sharma']",['Deepak Anand'],,"['Ramesh Sadhuram Taurani', 'Kumar Sadhuram Taurani']","Working as a Guide and bus driver in Jaisalmer, Arjun had always dreamed of being a famous singer. When he meets beautiful tourist, Naina Dixit, he impresser her with his singing, she encourages him to come to Bombay and try his luck there, and leaves her address with him. Shortly thereafter, Arjun bids farewell to his brother, his Bhabi, and nephew and sets forth to Bombay. Upon arrival he does meet with Naina's friend, Monto, who takes him to several places to try his luck, but no one even bothers to even listen to him, leave alone hear him sing. He lives with Naina, her sisters, Anu and Tuktuk, and their college professor mom, who empathize with him. Then Naina hits upon an idea to have a open song and dance show in a public park. The show does take place, and a wealthy young woman, Bobby Gujral, does notice Arjun and invites him to sing for a firm run by her dad's partner, Sunil Mahadevan. When Sunil refuses to get involved, Bobby talks to her dad and opens her very own recording company featuring Arjun as the main artist. Soon Arjun becomes famous overnight, but has not forgotten Naina and her family. This does not auger well with Bobby, who is very possessive and wants Arjun all to himself - and she makes up her mind that she will never permit anyone to come close to Arjun - for she has a gun, and knows how to use it.",216.0,4.6
rough book,4358344,24 Jun 2016,Drama,"['Jayati Bhatia', 'Ashwin Dhar', 'Deepika Amin', 'Vinay Jain', 'Suhasini Mulay', 'Amaan f Khan', 'Kaizaad Kotwal', 'Ram Kapoor', 'Mukesh Hariawala', 'Jayesh Bhatia', 'Tannishtha Chatterjee', 'Joy Sengupta']",['Ananth Narayan Mahadevan'],"['Sanjay Chauhan', 'Ananth Narayan Mahadevan']","['Ashish Chaudhary', 'Shaju Ignatius', 'J.C. Chaudhry', 'Aakash Chaudhry', 'Shawn Arranha', 'Vivek Vaswani', 'Rajendra Toraskar']","Rough Book is a hard look at the education system in contemporary India. Though one of the finest systems in the world, the lacunae in the system have created issues. The story is told to us through the eyes of a teacher, Santoshi Kumari, who rallies through a divorce with a corrupt income tax officer to become a teacher of Physics in a school. Her pupils are in the D division - 'D' sarcastically referred to as Duffers by both the students and other teachers. How Santoshi rebels against the system to fight for her students, forms the bulk of the simply told, yet completely thought provoking film. The rebellion of the teacher and her students are internalised to make their point.",208.0,6.7
pyar kiye jaa,0176075,1966,Comedy & Romance,"['Veena Kumari', 'N.S. Bedi', 'Shyamlal', 'Om Prakash', 'Mumtaz', 'Shashi Kapoor', 'Mehmood', 'Rajashree', 'Shivraj', 'Chaman Puri', 'V.D. Puranik', 'Kishore Kumar']",['C.V. Sridhar'],"['Rajendra Krishan', 'C.V. Sridhar', 'N.S. Bedi', 'Chitralaya Gopu']",['C.V. Sridhar'],"Widower Ramlal lives a wealthy lifestyle near Poona, India along with two daughters and a son. His daughter, Malti, is a Science Graduate; Nirmala, a matriculate, and the son, Atma, who wants his dad to finance a Hindi film which he himself will produce under the banner of 'Wah Wah Productions', he even signs up a nubile and sexy Meena Priyadarshini, the daughter of Ramlal's Estate Manager, to play the female lead role. Ramlal would like to get his daughters married to families that are wealthier than him. He hires an Assistant Manager, Ashok Verma, to look after his estate, but fires him when he finds out that he has misbehaved with his daughters. Ashok protests by putting up a tent in Ramlal's front-yard. Then an elderly male comes to visit Ramlal, he identifies himself as Rai Bahadur Ganga Prasad, claims he is very wealthy, and the estranged father of Ashok. Ramlal seizes this opportunity and asks Rai Bahadur to get Ashok to marry one of his daughters. Ashok and his dad reconcile, and Ashok decides to marry Nirmala. Then Ramlal gets another visitor, a wealthy elderly male by the name of Devraj, who used to know Ramlal during his school-days. Ramlal and Devraj talk about old times, and end up fixing up the marriage of Malti with Devraj's son. Ramlal introduces Devraj to Rai Bahadur and starts preparations for both marriages - little knowing that soon he will find out that Devraj's son has gone missing, perhaps refusing to marry someone his dad has chosen for him; Rai Bahadur is not who he claims to be; and that Ashok maybe the son of a poor school-teacher.",188.0,7.1
kabzaa,0156663,20 May 1988,Action & Crime & Drama & Thriller,"['Hari', 'Tiku Talsania', 'Rajeev', 'Raj Babbar', 'Sanjay Dutt', 'Nilu Phule', 'Mushtaq Khan', 'Masood Akhtar', 'Manek Chaudhary', 'Kamal Chopra', 'Akash Khurana', 'Deepak Qazir', 'Dimple Kapadia', 'Vicky', 'Anupam Kher', 'Ghanshyam Rohera', 'Lucky', 'Achyut Potdar', 'Mahesh Anand', 'A.G. Poddar', 'Milind Wagh', 'Disco Shanti', 'Sudhanshu', 'Avtar Gill', 'Amrita Singh', 'Ankur', 'Alok Nath', 'Pinky', 'Sanjay Khanna', 'Paresh Rawal', 'Suresh Bhagwat', 'Ashutosh', 'Rahul Singh']",['Mahesh Bhatt'],['Salim Khan'],['Nanabhai Bhatt'],"Ranjit Varma and his younger brother, Ravi works for a notorious criminal, Veljibhai Soda. While Ranjit is Veljibhai defense advocate; Ravi does all his unlawful activities. On one assignment where by Ravi is asked to evade Ustad Ali Mohammed from his property so that Veljibhai can take possession of it; Ravi instead admires Ali Mohammed ideals and decides to make him his mentor. When Ali Mohammed is killed by Veljibhai men; Ravi decides to carry on his linage and this becomes the motive of his life. But Veljibhai is holding Ranjit as hostage until Ravi endorse a legal document which states that Veljibhai is the owner of Ustad Ali Mohammed's property.",200.0,5.9
kushti (film),,,,,,,,,,
the making of the mahatma,0200441,04 Oct 1996,Biography & Drama & History,"['Lieb Bester', 'Peter Ucko', 'Len Sparrowhawk', 'David Clatworthy', 'Paul Slabolepszy', 'Charles Pillai', 'Keith Stevenson', 'Sean Cameron Michael', 'Himal Devnarain', 'John Whiteley', 'Ronny Belcher', 'Dick Reineke', 'Clive Scott', 'Dale Cutts', 'Strini Pillai', 'Douglas Bristow', 'Pallavi Joshi', 'Paul Ditchfield', 'Peter J. Elliott', 'James Whyle', 'Rajit Kapoor']",['Shyam Benegal'],['Fatima Meer'],,"One of two feuding Mohammedan cousins living in Britain but of Indian origin seek the assistance of an Indian Barrister to travel to Britain and settle their matter in a court of law. The Barrister travels to Britain, and finds that all Asians are treated as coolies, and their status is worse than of servants. Despite of being dressed in a suit and a tie, he is thrown out of a first class train compartment; is asked to remove his cap in a court of law; asked to ride with the driver of the coach; and even shoved out on the footpath for daring to walk close to a bureaucrat's premises; beaten, and abused with no recourse to any justice. His attempts to grieve these issues is met with strong governmental and bureauctatic disapproval and opposition. Notwithstanding this, he settles the dispute between the two cousins out of court, and sets about trying to organize the local Asians to assert their rights, and even represents some of them in Court. Then he journeys to Durban, South Africa, where yet another struggle is taking place against the native Africans and the emigrant Asian community. This is where this young man summons his wife, and three children, and this is where he decides to garner support of the oppressed community to improve the lot of all people, and this is where he will find that though the laws are on his side - the people who interpret them, and legislators are opposed to any kind of fair or equal treatment that this young Barrister was asking for. The young Barrister will then re-locate to India to continue his struggle against the British - and he will soon be known and acknowledged by the world as -- Mahatma Gandhi.",191.0,6.8
dariya dil,0377738,08 Jan 1988,Drama,"['Bharat Bhushan', 'Shoma Anand', 'Kimi Katkar', 'Mushtaq Merchant', 'Vinod Tripathi', 'Roshni', 'Ashok Saxena', 'Raja Duggal', 'Jayshree T.', 'Gulshan Grover', 'Ghanshyam Rohera', 'Seema Deo', 'Shakti Kapoor', 'Govinda', 'Renu Joshi', 'Farita Boyce', 'Jugnu', 'Raj Kiran', 'Yunus Parvez', 'Viju Khote', 'Kader Khan', 'Asrani', 'Vikas Anand', 'Shashi Puri']",['K. Ravi Shankar'],"['Vimal Kumar', 'Amrit Aryan', 'Gyandev Agnihotri', 'Kader Khan']","['Manisha Vimal', 'Vimal Kumar']","Chided by his family for being the absolute miser, wealthy industrialist Dhaniram (Kader Khan) loves his money as a mother loves a child. This does not auger well with his two sons, Ajay and Vijay (Shashi Kiran and Raj Kiran respectively). The two sons despise their father and find various ways to entrap him, but in vain. Dhaniram gets in the bad books of Income Tax Officer, D.O. Gogi (Shakti Kapoor), and as a result Gogi is arrested and imprisoned. His sister, Dolly (Roshini) and brother, Gulu (Gulshan Grover) both scheme a devious plot that will ensure the death of Dhaniram, and the control of his wealth will rest with them and Gogi.His third son Ravi (Govinda) makes everything correct ..",207.0,5.1
super model (film),10507478,14 Jun 2019,,,['Frankie Chan'],,,,,
talash (1969 film),,,,,,,,,,
krodhi,0214866,03 Feb 1981,Action & Crime & Thriller,"['Bharat Bhushan', 'Prem Nath', 'Birbal', 'Asit Kumar Sen', 'Iftekhar', 'Jagdish Raj', 'Sachin Pilgaonkar', 'Pran', 'Krishan Dhawan', 'Dharmendra', 'Sudhir', 'Amrish Puri', 'Vimi', 'Manmauji', 'D.K. Sapru', 'Ranjeeta Kaur', 'A.K. Hangal', 'Sudhir Dalvi', 'Raju Shrestha', 'Gautam', 'Brahmachari', 'Ashok Khanna', 'Zeenat Aman', 'Sulochana Latkar', 'C.S. Dubey', 'Raj Mehra', 'Mac Mohan', 'Robert', 'Moushumi Chatterjee', 'Shashi Kapoor', 'Avtar Singh Gullu', 'Sajjan', 'Surjeet', 'Hema Malini']",['Subhash Ghai'],"['Subhash Ghai', 'Nabendu Ghosh']",['Ranjit Virk'],"Unaware of his parents, as he was abandoned as a young child, Vikramjit Singh alias Vicky grows up amidst hatred. The only affection he receives is from the local school-teacher, Shakarbaba, and a young girl named Aarti. Vicky educates himself by reading all possible books. He keeps in touch with Aarti, and they grow up in love with each other. On the day Vicky decides to propose for marriage to Aarti, she is sold by her lecherous uncle for a few thousand rupees, to a group of men who attempt to rape her, but she kills herself. Enraged by this, Vicky hunts down her uncle, and her molesters and kills them by throwing from a high-rise building. Vicky's anger prompts him to more daredevil deeds, and he ends up becoming the ultimate underworld don with a private army of his own. Then one of his associates, Neera, gets married to CBI Officer Kumar Sahni, and Vicky is on the run, and believed to be dead when his bullet-proof crashes. Years later Neera comes to visit her in-laws in a small town, and is introduced to a kind and saintly person with special powers for healing named Shradhanand. She is shocked to find that Shradhanand is none other than Vicky. Now Vicky will have to decide to run again, or kill this only witness, and continue living without any trouble for the rest of his life.",175.0,6.5
baat ban jaye,0270219,1986,Comedy,"['Utpal Dutt', 'Jagdeep', 'Raj Babbar', 'Imtiaz Khan', 'Mithun Chakraborty', 'Maqsood', 'Prema Narayan', 'Sudhir', 'Aruna Irani', 'Ghanshyam Rohera', 'Nisha Singh', 'Shakti Kapoor', 'Amol Palekar', 'Zeenat Aman', 'Shammi', 'Jalal Agha', 'Viju Khote', 'Adi Irani', 'Sanjeev Kumar']",['Bharat Rangachary'],"['Rahi Masoom Reza', 'Sandip Mukherjee']","['Anil Hanspal', 'Nitin Manmohan']","Mr. Singh lives a wealthy lifestyle in a mansion named 'Ashiana' on 10th Road, Juhu, Bombay, with his only relative, a niece by the name of Nisha, who is unmarried and runs the family's business that faces strong opposition from Khanna Group of Industries. Singh would like to see her get married but she hates wealthy men. So her uncle finds a poor man, Ajay Srivastav, but subsequently finds out that Ajay is already married and also has 3 daughters; then he decides to get Nisha married to a TV repairman, Yeshwant Bhosle, who ends up being a multi-millionaire after his invention is marketed; then he wants her to get married to Viju Guide, a Hyderabad-based Tourist Guide, who finds buried treasure and also ends up a multi-millionaire; then he wants her to get married to a motor mechanic, Prakash, who, in turn, ends up being the only son of wealthy builder, Jayant Amar Nath, and ends up getting married to his sweetheart and neighbor, Rosy. Finally Nisha meets her ideal match in Rukhtapur-based Suraj Singh, a wedding singer/dancer, and gets married to him - not realizing that Suraj is not who he claims to be and she is merely a pawn in a charade that has been created especially to pull wool over her eyes.",173.0,6.4
apna asmaan,1073097,07 Sep 2007,Drama & Sci-Fi,"['Lalit Parashar', 'Anupam Kher', 'Shobana', 'Dhruv Piyush Panjuani', 'Utkarsha Naik', 'Nassar Abdulla', 'Barkha Singh', 'Rajat Kapoor', 'Irrfan Khan']",['Kaushik Roy'],['Kaushik Roy'],"['Sandeep Shandilya', 'Sameer Siddiqui', 'Kaushik Roy', 'Umang Pahwa']","Ravi and Padmini share a strained relationship due to their teenage son Buddhi's intellectual handicap. Buddhi, a mildly autistic slow learner displays his flair for art but his parents, with their middle-class insecurities, neither recognize nor encourage his talent. Driven by Padmini's social insecurities and Ravi's guilt for dropping Buddhi as a baby, the parents chase an unreal dream of seeing their son as a normal good student who, like others, must become an engineer or a doctor. While Dr Sen, the neurologist, tries hard to make Padmini accept the reality, Ravi's accidental meeting with Dr Sathya - the maverick scientist, leads him to the experimental ""Brain Booster"" that can make Buddhi a genius. The magic drug has a side effect - Amnesia, which Ravi thinks is a blessing since Buddhi has no good memories to talk about. Initially, Ravi hesitates to administer the drug but one night, in an inebriated state, he is sufficiently provoked by Padmini to inject Buddhi with the Brain Booster. The immediate effect seems like the end of their son's life but he eventually recovers from the shock to emerge as a newly born Buddhi - smarter, brighter but very confused and aloof. While the parents celebrate their new life, they overlook the consequences of a child who has no emotional bond with his parents. As Buddhi begins to show signs of being a genius, news breaks out about Dr Sathya's dark past and the ill effects of his magic Brain Booster. Soon the parents then begin to realize the perils of transforming their son to someone that he was not meant to be.",170.0,6.2
bhakta prahlada (1967 film),,,,,,,,,,
red rose (1980 film),,,,,,,,,,
hawayein,0378025,22 Aug 2003,Drama & Romance,"['Mukesh Gautam', 'Mitwa', 'Mahie Gill', 'Kamini Kaushal', 'Bhupinder Barnala', 'Jagmeet Samundri', 'Anandee Tripathi', 'Jassi Makna', 'Amrik Gill', 'Shavinder Mahal', 'Sarabjit Mangat', 'Mukul Dev', 'Ravi Jhankal', 'Balkaran Warring', 'Rama Vij', 'Harbhajan Jabbal', 'Surinder Rihal', 'Mukesh Tiwari', 'Sandeep Malhi', 'Sardar Sohi', 'Amitoj Mann', 'Tom Alter', 'Kulbhushan Kharbanda', 'Darshan Mehrok', 'Babbu Mann']",['Amitoj Mann'],"['Harjit Singh', 'Amitoj Mann']","['Ravi Sarin', 'Poornima Bhattacharya', 'Amrinder Singh', 'Nippy Dhanoa', 'Baldev Bhatti', 'Babbu Mann']","Set against the backdrop of the 1984 Sikh genocide, Hawayein is a 2003 film directed by Ammtoje Mann. The film is based on some real-life events and features the impact of Operation Bluestar and the subsequent assassination of Indira Gandhi on people's lives in Punjab. Hawayein depicts the story of Sarabjeet and how he became one of the most wanted terrorists of India.",190.0,6.2
jeevan ek sanghursh,0104548,03 Aug 1990,Drama & Family,"['Master Antriksh', 'Rakhee Gulzar', 'Rana Jung Bahadur', 'Pankaj Dheer', 'Deepak', 'Abbas', 'Mangal Dhillon', 'Anupam Kher', 'Ghanshyam Rohera', 'Abhinav Chaturvedi', 'Shehnaz Kudia', 'Anil Kapoor', 'Jaya Mathur', 'Moon Moon Sen', 'Paresh Rawal', 'C.S. Dubey', 'Yunus Parvez', 'Shehzad Khan', 'Madhuri Dixit', 'Kanwaljit Singh', 'Vikas Anand', 'Rahul Singh']",['Rahul Rawail'],['Javed Akhtar'],['D. Rama Naidu'],"['Karan, a thief, works for Dr. Devraj to help keep the evil don Rattan from taking over the city. His life changes when he finds his family that had disowned him when he was a child.']",179.0,4.8
new delhi times (film),0089678,1986,Drama & Mystery,"['Hansu Mehta', 'M.K. Raina', 'A.K. Hangal', 'Anang Desai', 'Vijay Kashyap', 'Asha Sharma', 'Shashi Kapoor', 'Sharmila Tagore', 'Om Puri', 'Kulbhushan Kharbanda', 'Manohar Singh', 'B.L. Chopra', 'Mushtaq Khan', 'Ram Gopal Bajaj']","['Romesh Sharma', 'Ramesh Sharma']",['Gulzar'],"['P.K. Tiwari', 'K. Bikram Singh']","When a politician is killed, a journalist discovers that a member of parliament had the man assassinated. As his editor digs deeper, the complicity of higher-placed politicians comes to the surface, which leads to riots in one town and an attempt to suppress his story.",184.0,7.6
jhuk gaya aasman,0290685,1968,Comedy & Romance,"['Saira Banu', 'Brahm Bhardwaj', 'Latif', 'Prem Chopra', 'Shree Bhagwan', 'Saul George', 'Ruby Mayer', 'Paul Sharma', 'Durga Khote', 'Jagdish Raj', 'Ram Avtar', 'David Abraham', 'Rajendranath Malhotra', 'Moolchand', 'Hari Shivdasani', 'Krishan Dhawan', 'H. Prakash', 'Gajanan Jagirdar', 'Tiger Kapoor', 'Madhumati', 'Kirti Kumar', 'Randhir', 'Rajendra Kumar', 'Ratan Gaurang', 'Gopal', 'Meena T.', 'C.S. Dubey', 'Parveen Choudhary', 'Mansaram', 'Bachan Singh']",['Lekh Tandon'],"['Prayag Raj', 'Omkar Sahib']","['Ramniklal S. Gosalia', 'Ramesh Lamba', 'R.D. Bansal']","Sanjay lives a poor lifestyle in Darjeeling and makes a living as a Tourist Guide. He meets with Calcutta-based Priya Khanna, and both fall in love. When she receives word that her dad has been arrested, she returns home, and with a lot of problems does manage to secure her dad's release. She then finds out that Sanjay is also in Calcutta, both meet and plan to get married. Her dad finds out and cautions her against meeting him as this person's real identity is Tarun Kumar Saxena - the very man who had him imprisoned. Priya disbelieves her father and goes to meet Sanjay - and this is when she will find out that her dad not only told her the truth, but Tarun is already married to a woman named Rita.",170.0,6.8
saathi (1991 film),,,,,,,,,,
apne paraye,0157320,08 Aug 1980,Drama & Family & Comedy,"['Zarina', 'Imtiaz', 'Bharti Achrekar', 'Gopi Sapru', 'Girish Karnad', 'Utpal Dutt', 'Master Vikas', 'Amol Sen', 'Master Rajesh', 'Master Manoj', 'Kuthiravattam Pappu', 'Ashalata Wabgaonkar', 'Soni', 'Manik Dutt', 'Shabana Azmi', 'Manisha', 'R.S. Chopra', 'Amol Palekar']",['Basu Chatterjee'],['Basu Chatterjee'],"['Mushir Alam', 'Mohammad Riaz', 'Tanvir Alam']","This is a story of two lawyer brothers, their half brother, their wives and children. Siddheshwari, wife of the eldest brother has left the operational details of the household to Sheela, wife of the half brother Chander. Chander is a happy go lucky musician, who fails in successive business ventures. Sheela ensures that the household runs smoothly, while Siddheshwari is the fount of love and affection in the joint household. When brother Harish and his spouse Nayantara rejoin the household, sparks fly. Sheela is accused of misappropriating assets, and the couple are exiled and humiliated by Harish and Nayantara. Will Sheela and Chander's integrity and love be acknowledged? Will the joint family survive the stress of greed and envy?",177.0,6.8
anurodh,0268146,,Drama & Family,"['Utpal Dutt', 'Amol Sen', 'Mrinal Mukherjee', 'Raj Kishore', 'Preeti Ganguli', 'Ashok Kumar', 'Birbal', 'Asit Kumar Sen', 'Madhup Sharma', 'Amar Nath', 'P. Kishore', 'Nirupa Roy', 'Devi Chand', 'Vinod Mehra', 'Dolley', 'Subroto Mahapatra', 'Simple Kapadia', 'Tika Singh', 'Rita Bhaduri', 'Rajesh Khanna', 'Dr. Ray', 'Abhi Bhattacharya', 'Kundan', 'Jankidas', 'Dina Pathak', 'Robin Kar', 'Asrani']",['Shakti Samanta'],"['Gauri Prasanna Mazumder', 'Din Dayal Sharma']",['Girija Samanta'],"Mr. Choudhary does not approve of his son, Arun, indulging in singing songs and music. He wants him to be a businessman like himself. Out of fear of his father finding out about his continued indulgence, Arun changes his name to Sanjay Kumar. He soon becomes a popular singer, and is even hired by the local radio station to sing songs. With his increasing popularity, the risk of his dad finding out the truth has also increased, and Arun must try and keep his family life and his singing career a secret, but the question is how long will he continue to do this.",174.0,6.8
mahaanta,0251194,23 May 1997,Action & Crime & Drama & Romance,"['Salim Khan Ding-Dong', 'Mehmood Jr.', 'Tej Sapru', 'Brij Gopal', 'Mohsin Khan', 'Shashi Kiran', 'Sanjay Dutt', 'Poonam Dhillon', 'Snehal Dabi', 'Saeed Jaffrey', 'Raza Murad', 'Tariq Shah', 'Amrish Puri', 'Kishore Bhanushali', 'Gurbachan Singh', 'Shakti Kapoor', 'Jeetendra', 'Paresh Rawal', 'Satyendra Kapoor', 'Sumalatha', 'Madhuri Dixit']",['Afzal Khan'],"['Afzal Khan', 'Talat Rekhi']",['Ayub Khan'],"Young Vijay studies in Good Shepherd High School, lives a wealthy lifestyle in a small scenic town along with his uncle, who is the Inspector General of Police in Bombay, and has a close friend in Raj Malhotra. When both mature, Vijay gets married, while Raj marries Shanti. On his uncle's insistence, Vijay departs to live in Bombay, where he eventually becomes the Police Commissioner. Subsequently Raj, Shanti, and Raj's brother, Sanjay, also re-locate to Bombay, where they are united with Vijay. Then Sanjay falls in love with Jenny and both want to get married much to the chagrin of Mahesh, who wants to marry her at any and all costs. Mahesh is the only son of wealthy and influential Kedar, who manages to convince Edward that it will be Jenny's and Sanjay's best interest if Jenny weds Mahesh. The marriage is arranged, but on that very day, Sanjay steps in, humiliates Kedar, and marries Jenny. That night Sanjay is arrested by none other than Vijay himself and placed in a cell. The next morning he is released and returns home to find that his brother and Bhabhi are both dead. Sanjay swears to avenge their death as well as find out why Vijay betrayed Raj, and arrested him on his wedding night.",183.0,4.4
